GRE Score,TOEFL Score,University Rating,SOP,CGPA,class
334,119,5,4.5,9.48,1
310,106,4,1.5,8.36,2
308,108,3,3.5,8.22,2
301,106,4,2.5,8.47,2
300,100,3,2,8.66,2
323,113,3,4,9.32,1
319,112,3,2.5,8.71,1
326,112,3,3.5,9.1,1
333,118,5,5,9.35,1
339,114,5,4,9.76,1
303,105,5,5,8.65,1
309,105,5,3.5,8.56,1
323,112,5,4,8.78,1
333,113,5,4,9.28,1
314,109,4,3.5,8.77,1
312,103,3,5,8.45,1
316,100,2,1.5,8.16,1
326,116,2,4.5,9.08,1
318,109,1,3.5,9.12,1
329,110,2,4,9.15,1
332,118,2,4.5,9.36,1
331,115,5,4,9.44,1
340,120,4,4.5,9.92,1
325,112,2,3,8.96,1
320,113,2,2,8.64,1
315,105,3,2,8.48,1
326,114,3,3,9.11,1
339,116,4,4,9.8,1
311,106,2,3.5,8.26,1
334,114,4,4,9.43,1
332,116,5,5,9.28,1
321,112,5,5,9.06,1
324,105,3,3,8.75,1
326,108,3,3,8.89,1
312,109,3,3,8.69,1
315,105,3,2,8.34,1
309,104,2,2,8.26,2
306,106,2,2,8.14,2
297,100,1,1.5,7.9,2
315,103,1,1.5,7.86,2
298,99,1,1.5,7.46,2
318,109,3,3,8.5,2
317,105,3,3.5,8.56,1
329,111,4,4.5,9.01,1
322,110,5,4.5,8.97,1
302,102,3,3.5,8.33,2
313,102,3,2,8.27,2
293,97,2,2,7.8,2
311,99,2,2.5,7.98,2
312,101,2,2.5,8.04,1
334,117,5,4,9.07,1
322,110,4,4,9.13,1
323,113,4,4,9.23,1
321,111,4,4,8.97,1
320,111,4,4.5,8.87,1
329,119,4,4.5,9.16,1
319,110,3,3.5,9.04,1
309,108,3,2.5,8.12,1
307,102,3,3,8.27,1
300,104,3,3.5,8.16,1
305,107,2,2.5,8.42,1
299,100,2,3,7.88,1
314,110,3,4,8.8,1
316,106,2,2.5,8.32,1
327,113,4,4.5,9.11,1
317,107,3,3.5,8.68,1
335,118,5,4.5,9.44,1
331,115,5,4.5,9.36,1
324,112,5,5,9.08,1
324,111,5,4.5,9.16,1
323,110,5,4,8.98,1
322,114,5,4.5,8.94,1
336,118,5,4.5,9.53,1
316,109,3,3.5,8.76,1
307,107,2,3,8.52,1
306,105,2,3,8.26,1
310,106,2,3.5,8.33,1
311,104,3,4.5,8.43,1
313,107,3,4,8.69,1
317,103,3,2.5,8.54,1
315,110,2,3.5,8.46,1
340,120,5,4.5,9.91,1
334,120,5,4,9.87,1
298,105,3,3.5,8.54,1
295,99,2,2.5,7.65,2
315,99,2,3.5,7.89,2
310,102,3,3.5,8.02,2
305,106,2,3,8.16,2
301,104,3,3.5,8.12,1
325,108,4,4.5,9.06,1
328,110,4,5,9.14,1
338,120,4,5,9.66,1
333,119,5,5,9.78,1
331,117,4,4.5,9.42,1
330,116,5,5,9.36,1
322,112,4,4.5,9.26,1
321,109,4,4,9.13,1
324,110,4,3,8.97,1
312,104,3,3.5,8.42,1
313,103,3,4,8.75,1
316,110,3,3.5,8.56,1
324,113,4,4.5,8.79,1
308,109,2,3,8.45,1
305,105,2,3,8.23,1
296,99,2,2.5,8.03,2
306,110,2,3.5,8.45,2
312,110,2,3.5,8.53,2
318,112,3,4,8.67,1
324,111,4,3,9.01,1
313,104,3,4,8.65,1
319,106,3,3.5,8.33,1
312,107,2,2.5,8.27,1
304,100,2,2.5,8.07,1
330,113,5,5,9.31,1
326,111,5,4.5,9.23,1
325,112,4,4,9.17,1
329,114,5,4.5,9.19,1
310,104,3,2,8.37,1
299,100,1,1.5,7.89,2
296,101,1,2.5,7.68,2
317,103,2,2.5,8.15,2
324,115,3,3.5,8.76,1
325,114,3,3.5,9.04,1
314,107,2,2.5,8.56,2
328,110,4,4,9.02,1
316,105,3,3,8.73,1
311,104,2,2.5,8.48,1
324,110,3,3.5,8.87,1
