GRE Score,TOEFL Score,SOP,CGPA,Chance of Admit ,class
332,118,4.5,9.36,0.9,1
331,115,4,9.44,0.92,1
340,120,4.5,9.92,0.97,1
325,112,3,8.96,0.8,1
320,113,2,8.64,0.81,1
315,105,2,8.48,0.75,0
326,114,3,9.11,0.83,1
339,116,4,9.8,0.96,1
311,106,3.5,8.26,0.79,1
334,114,4,9.43,0.93,1
332,116,5,9.28,0.94,1
321,112,5,9.06,0.86,1
324,105,3,8.75,0.79,0
326,108,3,8.89,0.8,0
312,109,3,8.69,0.77,0
315,105,2,8.34,0.7,0
309,104,2,8.26,0.65,0
306,106,2,8.14,0.61,0
297,100,1.5,7.9,0.52,0
315,103,1.5,7.86,0.57,0
298,99,1.5,7.46,0.53,0
318,109,3,8.5,0.67,0
317,105,3.5,8.56,0.68,0
329,111,4.5,9.01,0.81,1
322,110,4.5,8.97,0.78,0
302,102,3.5,8.33,0.65,0
313,102,2,8.27,0.64,0
293,97,2,7.8,0.64,1
311,99,2.5,7.98,0.65,0
312,101,2.5,8.04,0.68,1
334,117,4,9.07,0.89,1
322,110,4,9.13,0.86,1
323,113,4,9.23,0.89,1
321,111,4,8.97,0.87,1
320,111,4.5,8.87,0.85,1
329,119,4.5,9.16,0.9,1
319,110,3.5,9.04,0.82,0
309,108,2.5,8.12,0.72,0
307,102,3,8.27,0.73,0
300,104,3.5,8.16,0.71,0
305,107,2.5,8.42,0.71,0
299,100,3,7.88,0.68,0
314,110,4,8.8,0.75,0
316,106,2.5,8.32,0.72,0
327,113,4.5,9.11,0.89,1
317,107,3.5,8.68,0.84,1
335,118,4.5,9.44,0.93,1
331,115,4.5,9.36,0.93,1
324,112,5,9.08,0.88,1
324,111,4.5,9.16,0.9,1
323,110,4,8.98,0.87,1
322,114,4.5,8.94,0.86,1
336,118,4.5,9.53,0.94,1
316,109,3.5,8.76,0.77,0
307,107,3,8.52,0.78,1
306,105,3,8.26,0.73,0
310,106,3.5,8.33,0.73,0
311,104,4.5,8.43,0.7,0
313,107,4,8.69,0.72,0
317,103,2.5,8.54,0.73,1
315,110,3.5,8.46,0.72,1
340,120,4.5,9.91,0.97,1
334,120,4,9.87,0.97,1
298,105,3.5,8.54,0.69,0
295,99,2.5,7.65,0.57,0
315,99,3.5,7.89,0.63,0
310,102,3.5,8.02,0.66,1
305,106,3,8.16,0.64,0
301,104,3.5,8.12,0.68,1
325,108,4.5,9.06,0.79,1
328,110,5,9.14,0.82,1
338,120,5,9.66,0.95,1
333,119,5,9.78,0.96,1
331,117,4.5,9.42,0.94,1
330,116,5,9.36,0.93,1
322,112,4.5,9.26,0.91,1
321,109,4,9.13,0.85,1
324,110,3,8.97,0.84,1
312,104,3.5,8.42,0.74,0
313,103,4,8.75,0.76,0
316,110,3.5,8.56,0.75,0
324,113,4.5,8.79,0.76,0
308,109,3,8.45,0.71,0
305,105,3,8.23,0.67,0
296,99,2.5,8.03,0.61,0
306,110,3.5,8.45,0.63,0
312,110,3.5,8.53,0.64,0
318,112,4,8.67,0.71,0
324,111,3,9.01,0.82,1
313,104,4,8.65,0.73,0
319,106,3.5,8.33,0.74,1
312,107,2.5,8.27,0.69,0
304,100,2.5,8.07,0.64,0
330,113,5,9.31,0.91,1
326,111,4.5,9.23,0.88,1
325,112,4,9.17,0.85,1
329,114,4.5,9.19,0.86,1
310,104,2,8.37,0.7,0
299,100,1.5,7.89,0.59,0
296,101,2.5,7.68,0.6,0
317,103,2.5,8.15,0.65,0
324,115,3.5,8.76,0.7,1
325,114,3.5,9.04,0.76,1
314,107,2.5,8.56,0.63,0
328,110,4,9.02,0.81,1
316,105,3,8.73,0.72,0
311,104,2.5,8.48,0.71,0
324,110,3.5,8.87,0.8,1
321,111,3.5,8.83,0.77,1
320,104,3,8.57,0.74,1
316,99,2.5,9,0.7,0
318,100,2.5,8.54,0.71,1
335,115,4.5,9.68,0.93,1
321,114,4,9.12,0.85,0
307,110,4,8.37,0.79,0
309,99,4,8.56,0.76,0
324,100,4,8.64,0.78,1
326,102,5,8.76,0.77,1
331,119,5,9.34,0.9,1
327,108,5,9.13,0.87,1
312,104,3.5,8.09,0.71,0
308,103,2.5,8.36,0.7,1
324,111,2.5,8.79,0.7,1
325,110,3,8.76,0.75,1
313,102,2.5,8.68,0.71,0
312,105,2,8.45,0.72,0
314,107,3,8.17,0.73,1
327,113,4.5,9.14,0.83,0
308,108,4.5,8.34,0.77,0
306,105,2.5,8.22,0.72,1
299,96,1.5,7.86,0.54,0
294,95,1.5,7.64,0.49,0
312,99,1,8.01,0.52,1
315,100,2,7.95,0.58,0
322,110,3.5,8.96,0.78,1
329,113,5,9.45,0.89,1
320,101,2.5,8.62,0.7,0
308,103,3,8.49,0.66,0
304,102,3,8.73,0.67,0
311,102,4.5,8.64,0.68,1
317,110,4,9.11,0.8,1
312,106,4,8.79,0.81,1
321,111,2.5,8.9,0.8,1
340,112,5,9.66,0.94,1
331,116,4,9.26,0.93,1
336,118,4.5,9.19,0.92,1
324,114,5,9.08,0.89,1
314,104,5,9.02,0.82,0
313,109,4,9,0.79,0
307,105,2.5,7.65,0.58,0
300,102,1.5,7.87,0.56,0
302,99,1,7.97,0.56,0
312,98,3.5,8.18,0.64,1
316,101,2.5,8.32,0.61,1
317,100,3,8.57,0.68,0
310,107,3.5,8.67,0.76,0
320,120,4,9.11,0.86,0
330,114,4.5,9.24,0.9,1
305,112,3,8.65,0.71,0
309,106,2.5,8,0.62,0
319,108,2.5,8.76,0.66,0
322,105,3,8.45,0.65,1
323,107,3.5,8.55,0.73,1
313,106,2.5,8.43,0.62,0
321,109,3.5,8.8,0.74,1
323,110,4,9.1,0.79,1
325,112,4,9,0.8,1
312,108,3.5,8.53,0.69,0
308,110,3.5,8.6,0.7,0
320,104,3,8.74,0.76,1
328,108,4.5,9.18,0.84,1
311,107,4.5,9,0.78,1
301,100,3.5,8.04,0.67,0
305,105,3,8.13,0.66,0
308,104,2.5,8.07,0.65,0
298,101,1.5,7.86,0.54,0
300,99,1,8.01,0.58,0
324,111,2.5,8.8,0.79,1
327,113,3.5,8.69,0.8,1
317,106,4,8.5,0.75,1
323,104,4,8.44,0.73,1
314,107,2.5,8.27,0.72,0
305,102,2,8.18,0.62,0
315,104,3,8.33,0.67,0
326,116,3.5,9.14,0.81,1
299,100,2,8.02,0.63,0
295,101,2.5,7.86,0.69,0
324,112,4,8.77,0.8,1
297,96,2.5,7.89,0.43,0
327,113,3.5,8.66,0.8,1
311,105,3,8.12,0.73,1
308,106,3.5,8.21,0.75,1
319,108,3,8.54,0.71,1
312,107,4.5,8.65,0.73,1
325,111,4,9.11,0.83,1
319,110,3,8.79,0.72,0
332,118,5,9.47,0.94,1
323,108,4,8.74,0.81,1
324,107,3.5,8.66,0.81,1
312,107,3,8.46,0.75,1
326,110,3.5,8.76,0.79,1
308,106,3,8.24,0.58,0
305,103,2.5,8.13,0.59,0
295,96,1.5,7.34,0.47,0
316,98,1.5,7.43,0.49,0
304,97,1.5,7.64,0.47,0
299,94,1,7.34,0.42,0
302,99,2,7.25,0.57,0
313,101,2.5,8.04,0.62,0
318,107,3,8.27,0.74,1
325,110,3.5,8.67,0.73,1
303,100,3,8.06,0.64,1
300,102,3.5,8.17,0.63,0
297,98,2.5,7.67,0.59,0
317,106,2,8.12,0.73,0
327,109,3.5,8.77,0.79,1
301,104,3.5,7.89,0.68,1
314,105,2.5,7.64,0.7,0
321,107,2,8.44,0.81,0
322,110,4,8.64,0.85,1
334,116,4,9.54,0.93,1
338,115,4.5,9.23,0.91,1
306,103,2.5,8.36,0.69,0
313,102,3.5,8.9,0.77,1
330,114,4.5,9.17,0.86,1
320,104,3.5,8.34,0.74,1
311,98,1,7.46,0.57,0
298,92,2,7.88,0.51,0
301,98,2,8.03,0.67,1
310,103,2.5,8.24,0.72,0
324,110,3.5,9.22,0.89,1
336,119,4.5,9.62,0.95,1
321,109,3,8.54,0.79,1
315,105,2,7.65,0.39,0
304,101,2,7.66,0.38,0
297,96,2.5,7.43,0.34,0
290,100,1.5,7.56,0.47,0
303,98,2,7.65,0.56,0
311,99,2.5,8.43,0.71,1
322,104,3.5,8.84,0.78,1
319,105,3,8.67,0.73,1
324,110,4.5,9.15,0.82,1
300,100,3,8.26,0.62,0
340,113,5,9.74,0.96,1
335,117,5,9.82,0.96,1
302,101,2.5,7.96,0.46,0
307,105,2,8.1,0.53,0
296,97,1.5,7.8,0.49,0
320,108,3.5,8.44,0.76,1
314,102,2,8.24,0.64,0
318,106,2,8.65,0.71,0
326,112,4,9.12,0.84,1
317,104,3,8.76,0.77,0
329,111,4.5,9.23,0.89,1
324,110,3.5,9.04,0.82,1
325,107,3,9.11,0.84,1
330,116,5,9.45,0.91,1
312,103,3.5,8.78,0.67,0
333,117,5,9.66,0.95,1
