Miles Per Gallon,Engine Size (cube in),Weight in pounds,Acceleration (0 to 60),Model Year,class
18,258,3193,18,76,1
30,97,1825,12,76,2
32,85,1990,17,76,3
28,97,2155,16,76,3
27,140,2565,14,76,1
20,130,3150,16,76,2
13,318,3940,13,76,1
19,120,3270,22,76,2
19,156,2930,16,76,3
17,168,3820,17,76,2
17,350,4380,12,76,1
13,350,4055,12,76,1
13,302,3870,15,76,1
13,318,3755,14,76,1
32,98,2045,19,77,3
30,111,2155,15,77,1
36,79,1825,19,77,2
26,122,2300,16,77,1
34,85,1945,17,77,3
18,305,3880,13,77,1
17,260,4060,19,77,1
16,318,4140,14,77,1
15,302,4295,15,77,1
18,250,3520,16,77,1
21,231,3425,17,77,1
19,225,3630,18,77,1
19,250,3525,19,77,1
16,400,4220,11,77,1
16,350,4165,11,77,1
16,400,4325,12,77,1
16,351,4335,15,77,1
29,97,1940,15,77,2
25,151,2740,16,77,1
26,97,2265,18,77,3
26,140,2755,16,77,1
31,98,2051,17,77,1
34,98,2075,16,77,1
30,97,1985,16,77,3
31,97,2190,14,77,2
22,146,2815,15,77,3
22,121,2600,13,77,2
22,80,2720,14,77,3
43,90,1985,22,78,2
36,98,1800,14,78,1
33,78,1985,19,78,3
39,85,2070,19,78,3
36,91,1800,16,78,3
20,260,3365,16,78,1
19,318,3735,13,78,1
20,302,3570,13,78,1
19,231,3535,19,78,1
21,200,3155,18,78,1
20,200,2965,16,78,1
25,140,2720,15,78,1
21,225,3430,17,78,1
19,232,3210,17,78,1
21,231,3380,16,78,1
21,200,3070,17,78,1
19,225,3620,19,78,1
18,258,3410,15,78,1
19,305,3425,13,78,1
18,231,3445,13,78,1
18,302,3205,11,78,1
18,318,4080,14,78,1
30,98,2155,17,78,1
28,134,2560,14,78,3
27,119,2300,15,78,3
31,105,2230,15,78,1
21,134,2515,15,78,3
23,156,2745,17,78,1
24,151,2855,18,78,1
24,119,2405,15,78,3
20,131,2830,16,78,2
17,163,3140,14,78,2
22,121,2795,16,78,2
16,163,3410,16,78,2
32,89,1990,15,78,2
30,98,2135,17,78,3
22,231,3245,15,79,1
20,200,2990,18,79,1
22,140,2890,17,79,1
20,232,3265,18,79,1
21,225,3360,17,79,1
17,305,3840,15,79,1
18,302,3725,13,79,1
17,351,3955,13,79,1
18,318,3830,15,79,1
17,350,4360,15,79,1
16,351,4054,14,79,1
19,267,3605,15,79,1
19,360,3940,13,79,1
32,89,1925,14,79,2
34,86,1975,15,79,3
36,98,1915,14,79,1
27,121,2670,15,79,1
25,183,3530,20,79,2
23,350,3900,17,79,1
27,141,3190,25,79,2
24,260,3420,22,79,1
34,105,2200,13,79,1
35,105,2150,15,79,1
32,85,2020,19,79,3
37,91,2130,15,79,2
28,151,2670,16,79,1
29,173,2595,11,79,1
27,173,2700,13,79,1
34,151,2556,13,79,1
42,98,2144,15,80,2
38,89,1968,19,80,3
32,98,2120,16,80,1
37,86,2019,16,80,3
28,151,2678,17,80,1
26,140,2870,18,80,1
24,151,3003,20,80,1
19,225,3381,19,80,1
34,97,2188,16,80,2
30,134,2711,16,80,3
31,120,2542,18,80,3
37,119,2434,15,80,3
32,108,2265,15,80,3
47,86,2110,18,80,3
28,156,2800,14,80,1
41,85,2110,19,80,3
44,90,2085,22,80,2
43,90,2335,24,80,2
36,121,2950,20,80,2
30,146,3250,22,80,2
45,91,1850,14,80,3
41,85,1835,17,80,2
34,97,2145,18,80,3
30,89,1845,15,80,2
33,168,2910,11,80,3
24,70,2420,13,80,3
35,122,2500,15,80,2
24,140,2905,14,80,1
32,107,2290,17,80,3
27,135,2490,16,81,1
27,151,2635,16,81,1
26,156,2620,14,81,1
24,173,2725,13,81,1
30,135,2385,13,81,1
39,79,1755,17,81,3
39,86,1875,16,81,1
35,81,1760,16,81,3
32,97,2065,18,81,3
37,85,1975,19,81,3
38,89,2050,17,81,3
34,91,1985,16,81,3
35,105,2215,15,81,1
34,98,2045,16,81,1
30,98,2380,21,81,1
33,105,2190,14,81,2
35,100,2320,16,81,2
34,107,2210,14,81,3
32,108,2350,17,81,3
33,119,2615,15,81,3
32,120,2635,18,81,3
28,141,3230,20,81,2
31,145,3160,20,81,2
25,168,2900,13,81,3
24,146,2930,14,81,3
22,231,3415,16,81,1
27,350,3725,19,81,1
20,200,3060,17,81,1
18,225,3465,17,81,1
28,112,2605,20,82,1
27,112,2640,19,82,1
34,112,2395,18,82,1
31,112,2575,16,82,1
29,135,2525,16,82,1
27,151,2735,18,82,1
24,140,2865,16,82,1
23,151,3035,21,82,1
36,105,1980,15,82,2
37,91,2025,18,82,3
31,91,1970,18,82,3
38,105,2125,15,82,1
36,98,2125,17,82,1
36,120,2160,15,82,3
36,107,2205,15,82,3
34,108,2245,17,82,3
38,91,1965,15,82,3
32,91,1965,16,82,3
38,91,1995,16,82,3
25,181,2945,16,82,1
38,262,3015,17,82,1
26,156,2585,15,82,1
22,232,2835,15,82,1
32,144,2665,14,82,3
36,135,2370,13,82,1
27,151,2950,17,82,1
27,140,2790,16,82,1
44,97,2130,25,82,2
32,135,2295,12,82,1
28,120,2625,19,82,1
31,119,2720,19,82,1
